Series ID,year,period,label,value
LNS14000007,2013,M05,2013 May,14.9
LNS14000007,2013,M06,2013 Jun,15
LNS14000007,2013,M07,2013 Jul,14
LNS14000007,2013,M08,2013 Aug,14.7
LNS14000007,2013,M09,2013 Sep,15.2
LNS14000007,2013,M10,2013 Oct,13.8
LNS14000007,2013,M11,2013 Nov,13.2
LNS14000007,2013,M12,2013 Dec,12.6
LNS14000007,2014,M01,2014 Jan,13.3
LNS14000007,2014,M02,2014 Feb,13.5
LNS14000007,2014,M03,2014 Mar,12.9
LNS14000007,2014,M04,2014 Apr,12.4
LNS14000007,2014,M05,2014 May,12.3
LNS14000007,2014,M06,2014 Jun,11.7
LNS14000007,2014,M07,2014 Jul,12.5
LNS14000007,2014,M08,2014 Aug,11.7
LNS14000007,2014,M09,2014 Sep,11.7
LNS14000007,2014,M10,2014 Oct,11.2
LNS14000007,2014,M11,2014 Nov,11.8
LNS14000007,2014,M12,2014 Dec,11.9
LNS14000007,2015,M01,2015 Jan,11.4
LNS14000007,2015,M02,2015 Feb,11
LNS14000007,2015,M03,2015 Mar,10.6
LNS14000007,2015,M04,2015 Apr,9.9
LNS14000007,2015,M05,2015 May,11.4
LNS14000007,2015,M06,2015 Jun,10.4
LNS14000007,2015,M07,2015 Jul,9.5
LNS14000007,2015,M08,2015 Aug,10
LNS14000007,2015,M09,2015 Sep,9.8
LNS14000007,2015,M10,2015 Oct,9.5
LNS14000007,2015,M11,2015 Nov,10.7
LNS14000007,2015,M12,2015 Dec,9.2
LNS14000007,2016,M01,2016 Jan,9.1
LNS14000007,2016,M02,2016 Feb,9
LNS14000007,2016,M03,2016 Mar,9.5
LNS14000007,2016,M04,2016 Apr,10
LNS14000007,2016,M05,2016 May,8.5
LNS14000007,2016,M06,2016 Jun,9.8
LNS14000007,2016,M07,2016 Jul,9.1
LNS14000007,2016,M08,2016 Aug,8.5
LNS14000007,2016,M09,2016 Sep,9.2
LNS14000007,2016,M10,2016 Oct,9.2
LNS14000007,2016,M11,2016 Nov,8.5
LNS14000007,2016,M12,2016 Dec,8.7
LNS14000007,2017,M01,2017 Jan,7.9
LNS14000007,2017,M02,2017 Feb,8.3
LNS14000007,2017,M03,2017 Mar,9
LNS14000007,2017,M04,2017 Apr,8.4
LNS14000007,2017,M05,2017 May,7.8
LNS14000007,2017,M06,2017 Jun,7.1
LNS14000007,2017,M07,2017 Jul,8.2
LNS14000007,2017,M08,2017 Aug,8.4
LNS14000007,2017,M09,2017 Sep,7.8
LNS14000007,2017,M10,2017 Oct,8.2
LNS14000007,2017,M11,2017 Nov,8.4
LNS14000007,2017,M12,2017 Dec,7.3
LNS14000007,2018,M01,2018 Jan,8
LNS14000007,2018,M02,2018 Feb,6.7
LNS14000007,2018,M03,2018 Mar,6.8
LNS14000007,2018,M04,2018 Apr,7.1
LNS14000007,2018,M05,2018 May,7.1
LNS14000007,2018,M06,2018 Jun,7.3
LNS14000007,2018,M07,2018 Jul,6.9
LNS14000007,2018,M08,2018 Aug,6.5
LNS14000007,2018,M09,2018 Sep,6.6
LNS14000007,2018,M10,2018 Oct,7.2
LNS14000007,2018,M11,2018 Nov,6.5
LNS14000007,2018,M12,2018 Dec,7.1
LNS14000007,2019,M01,2019 Jan,7.7
LNS14000007,2019,M02,2019 Feb,7.8
LNS14000007,2019,M03,2019 Mar,7.4
LNS14000007,2019,M04,2019 Apr,7.3
LNS14000007,2019,M05,2019 May,6.8
LNS14000007,2019,M06,2019 Jun,6.1
LNS14000007,2019,M07,2019 Jul,6.1
LNS14000007,2019,M08,2019 Aug,6.2
LNS14000007,2019,M09,2019 Sep,5.8
LNS14000007,2019,M10,2019 Oct,5.6
LNS14000007,2019,M11,2019 Nov,5.7
LNS14000007,2019,M12,2019 Dec,6.3
LNS14000007,2020,M01,2020 Jan,6.1
LNS14000007,2020,M02,2020 Feb,6.4
LNS14000007,2020,M03,2020 Mar,7.6
LNS14000007Q,2010,Q01,2010 Qtr1,19.7
LNS14000007Q,2010,Q02,2010 Qtr2,18.2
LNS14000007Q,2010,Q03,2010 Qtr3,18
LNS14000007Q,2010,Q04,2010 Qtr4,17.7
LNS14000007Q,2011,Q01,2011 Qtr1,17.9
LNS14000007Q,2011,Q02,2011 Qtr2,18.4
LNS14000007Q,2011,Q03,2011 Qtr3,17.9
LNS14000007Q,2011,Q04,2011 Qtr4,16.9
LNS14000007Q,2012,Q01,2012 Qtr1,14.8
LNS14000007Q,2012,Q02,2012 Qtr2,15.1
LNS14000007Q,2012,Q03,2012 Qtr3,15.4
LNS14000007Q,2012,Q04,2012 Qtr4,14.8
LNS14000007Q,2013,Q01,2013 Qtr1,14
LNS14000007Q,2013,Q02,2013 Qtr2,14.7
LNS14000007Q,2013,Q03,2013 Qtr3,14.6
LNS14000007Q,2013,Q04,2013 Qtr4,13.2
LNS14000007Q,2014,Q01,2014 Qtr1,13.2
LNS14000007Q,2014,Q02,2014 Qtr2,12.1
LNS14000007Q,2014,Q03,2014 Qtr3,11.9
LNS14000007Q,2014,Q04,2014 Qtr4,11.6
LNS14000007Q,2015,Q01,2015 Qtr1,11
LNS14000007Q,2015,Q02,2015 Qtr2,10.6
LNS14000007Q,2015,Q03,2015 Qtr3,9.7
LNS14000007Q,2015,Q04,2015 Qtr4,9.8
LNS14000007Q,2016,Q01,2016 Qtr1,9.2
LNS14000007Q,2016,Q02,2016 Qtr2,9.4
LNS14000007Q,2016,Q03,2016 Qtr3,8.9
LNS14000007Q,2016,Q04,2016 Qtr4,8.8
LNS14000007Q,2017,Q01,2017 Qtr1,8.4
LNS14000007Q,2017,Q02,2017 Qtr2,7.8
LNS14000007Q,2017,Q03,2017 Qtr3,8.1
LNS14000007Q,2017,Q04,2017 Qtr4,8
LNS14000007Q,2018,Q01,2018 Qtr1,7.2
LNS14000007Q,2018,Q02,2018 Qtr2,7.2
LNS14000007Q,2018,Q03,2018 Qtr3,6.7
LNS14000007Q,2018,Q04,2018 Qtr4,6.9
LNS14000007Q,2019,Q01,2019 Qtr1,7.6
LNS14000007Q,2019,Q02,2019 Qtr2,6.7
LNS14000007Q,2019,Q03,2019 Qtr3,6
LNS14000007Q,2019,Q04,2019 Qtr4,5.9
LNS14000007Q,2020,Q01,2020 Qtr1,6.7
LNS14000008,2010,M01,2010 Jan,14.1
LNS14000008,2010,M02,2010 Feb,13.3
LNS14000008,2010,M03,2010 Mar,13.5
LNS14000008,2010,M04,2010 Apr,14.7
LNS14000008,2010,M05,2010 May,13.6
LNS14000008,2010,M06,2010 Jun,12.4
LNS14000008,2010,M07,2010 Jul,13.7
LNS14000008,2010,M08,2010 Aug,14
LNS14000008,2010,M09,2010 Sep,14
LNS14000008,2010,M10,2010 Oct,13.9
LNS14000008,2010,M11,2010 Nov,14.4
LNS14000008,2010,M12,2010 Dec,13.9
LNS14000008,2011,M01,2011 Jan,13.7
LNS14000008,2011,M02,2011 Feb,13.7
LNS14000008,2011,M03,2011 Mar,13.6
LNS14000008,2011,M04,2011 Apr,14.5
LNS14000008,2011,M05,2011 May,14.3
LNS14000008,2011,M06,2011 Jun,14.7
LNS14000008,2011,M07,2011 Jul,14.4
LNS14000008,2011,M08,2011 Aug,14.4
LNS14000008,2011,M09,2011 Sep,14.7
LNS14000008,2011,M10,2011 Oct,12.9
LNS14000008,2011,M11,2011 Nov,13.9
LNS14000008,2011,M12,2011 Dec,14.4
LNS14000008,2012,M01,2012 Jan,13.5
LNS14000008,2012,M02,2012 Feb,12.7
LNS14000008,2012,M03,2012 Mar,13
LNS14000008,2012,M04,2012 Apr,11.6
LNS14000008,2012,M05,2012 May,12.3
LNS14000008,2012,M06,2012 Jun,13.9
LNS14000008,2012,M07,2012 Jul,12.6
LNS14000008,2012,M08,2012 Aug,12.8
LNS14000008,2012,M09,2012 Sep,12.1
LNS14000008,2012,M10,2012 Oct,13
LNS14000008,2012,M11,2012 Nov,12.2
LNS14000008,2012,M12,2012 Dec,13.4
LNS14000008,2013,M01,2013 Jan,13.2
LNS14000008,2013,M02,2013 Feb,13.6
LNS14000008,2013,M03,2013 Mar,12.4
LNS14000008,2013,M04,2013 Apr,12.4
LNS14000008,2013,M05,2013 May,12
LNS14000008,2013,M06,2013 Jun,13.5
LNS14000008,2013,M07,2013 Jul,11.4
LNS14000008,2013,M08,2013 Aug,11.1
LNS14000008,2013,M09,2013 Sep,11
LNS14000008,2013,M10,2013 Oct,12
LNS14000008,2013,M11,2013 Nov,11.5
LNS14000008,2013,M12,2013 Dec,11.4
LNS14000008,2014,M01,2014 Jan,11.1
LNS14000008,2014,M02,2014 Feb,10.4
LNS14000008,2014,M03,2014 Mar,11.3
LNS14000008,2014,M04,2014 Apr,10.8
LNS14000008,2014,M05,2014 May,10.5
LNS14000008,2014,M06,2014 Jun,10.4
LNS14000008,2014,M07,2014 Jul,10.9
LNS14000008,2014,M08,2014 Aug,11.2
LNS14000008,2014,M09,2014 Sep,10.4
LNS14000008,2014,M10,2014 Oct,10.1
LNS14000008,2014,M11,2014 Nov,10.1
LNS14000008,2014,M12,2014 Dec,9.4
LNS14000008,2015,M01,2015 Jan,9.2
LNS14000008,2015,M02,2015 Feb,9.3
LNS14000008,2015,M03,2015 Mar,9.2
LNS14000008,2015,M04,2015 Apr,9.5
LNS14000008,2015,M05,2015 May,9.3
LNS14000008,2015,M06,2015 Jun,9.1
LNS14000008,2015,M07,2015 Jul,8.8
LNS14000008,2015,M08,2015 Aug,8.9
LNS14000008,2015,M09,2015 Sep,8.9
LNS14000008,2015,M10,2015 Oct,8.6
LNS14000008,2015,M11,2015 Nov,8.3
LNS14000008,2015,M12,2015 Dec,7.9
LNS14000008,2016,M01,2016 Jan,8.3
LNS14000008,2016,M02,2016 Feb,8.1
LNS14000008,2016,M03,2016 Mar,8.4
LNS14000008,2016,M04,2016 Apr,7.8
LNS14000008,2016,M05,2016 May,8
LNS14000008,2016,M06,2016 Jun,7.8
LNS14000008,2016,M07,2016 Jul,7.8
LNS14000008,2016,M08,2016 Aug,7.6
LNS14000008,2016,M09,2016 Sep,8
LNS14000008,2016,M10,2016 Oct,7.6
LNS14000008,2016,M11,2016 Nov,7.8
LNS14000008,2016,M12,2016 Dec,7.2
LNS14000008,2017,M01,2017 Jan,7.1
LNS14000008,2017,M02,2017 Feb,7.5
LNS14000008,2017,M03,2017 Mar,6.9
LNS14000008,2017,M04,2017 Apr,7.4
LNS14000008,2017,M05,2017 May,7.5
LNS14000008,2017,M06,2017 Jun,7.2
LNS14000008,2017,M07,2017 Jul,6.8
LNS14000008,2017,M08,2017 Aug,7
LNS14000008,2017,M09,2017 Sep,6.7
LNS14000008,2017,M10,2017 Oct,6.7
LNS14000008,2017,M11,2017 Nov,6.6
LNS14000008,2017,M12,2017 Dec,6.1
LNS14000008,2018,M01,2018 Jan,6.9
LNS14000008,2018,M02,2018 Feb,6.6
LNS14000008,2018,M03,2018 Mar,6.8
LNS14000008,2018,M04,2018 Apr,5.8
LNS14000008,2018,M05,2018 May,4.8
LNS14000008,2018,M06,2018 Jun,5.8
LNS14000008,2018,M07,2018 Jul,6.4
LNS14000008,2018,M08,2018 Aug,6.2
LNS14000008,2018,M09,2018 Sep,5.8
LNS14000008,2018,M10,2018 Oct,5.5
LNS14000008,2018,M11,2018 Nov,5.6
LNS14000008,2018,M12,2018 Dec,6.1
LNS14000008,2019,M01,2019 Jan,6
LNS14000008,2019,M02,2019 Feb,6.1
LNS14000008,2019,M03,2019 Mar,5.8
LNS14000008,2019,M04,2019 Apr,5.9
LNS14000008,2019,M05,2019 May,5.6
LNS14000008,2019,M06,2019 Jun,5.9
LNS14000008,2019,M07,2019 Jul,5.7
LNS14000008,2019,M08,2019 Aug,4.7
LNS14000008,2019,M09,2019 Sep,5.2
LNS14000008,2019,M10,2019 Oct,5.3
LNS14000008,2019,M11,2019 Nov,5.4
LNS14000008,2019,M12,2019 Dec,5.5
LNS14000008,2020,M01,2020 Jan,5.8
LNS14000008,2020,M02,2020 Feb,5.3
LNS14000008,2020,M03,2020 Mar,5.9
LNS14000008Q,2010,Q01,2010 Qtr1,13.6
LNS14000008Q,2010,Q02,2010 Qtr2,13.6
LNS14000008Q,2010,Q03,2010 Qtr3,13.9
LNS14000008Q,2010,Q04,2010 Qtr4,14.1
LNS14000008Q,2011,Q01,2011 Qtr1,13.7
LNS14000008Q,2011,Q02,2011 Qtr2,14.5
LNS14000008Q,2011,Q03,2011 Qtr3,14.5
LNS14000008Q,2011,Q04,2011 Qtr4,13.7
LNS14000008Q,2012,Q01,2012 Qtr1,13.1
LNS14000008Q,2012,Q02,2012 Qtr2,12.6
LNS14000008Q,2012,Q03,2012 Qtr3,12.5
LNS14000008Q,2012,Q04,2012 Qtr4,12.9
LNS14000008Q,2013,Q01,2013 Qtr1,13.1
LNS14000008Q,2013,Q02,2013 Qtr2,12.6
LNS14000008Q,2013,Q03,2013 Qtr3,11.2
LNS14000008Q,2013,Q04,2013 Qtr4,11.6
LNS14000008Q,2014,Q01,2014 Qtr1,10.9
LNS14000008Q,2014,Q02,2014 Qtr2,10.6
LNS14000008Q,2014,Q03,2014 Qtr3,10.8
LNS14000008Q,2014,Q04,2014 Qtr4,9.9
LNS14000008Q,2015,Q01,2015 Qtr1,9.2
LNS14000008Q,2015,Q02,2015 Qtr2,9.3
LNS14000008Q,2015,Q03,2015 Qtr3,8.9
LNS14000008Q,2015,Q04,2015 Qtr4,8.3
LNS14000008Q,2016,Q01,2016 Qtr1,8.3
LNS14000008Q,2016,Q02,2016 Qtr2,7.9
LNS14000008Q,2016,Q03,2016 Qtr3,7.8
LNS14000008Q,2016,Q04,2016 Qtr4,7.5
LNS14000008Q,2017,Q01,2017 Qtr1,7.2
LNS14000008Q,2017,Q02,2017 Qtr2,7.4
LNS14000008Q,2017,Q03,2017 Qtr3,6.8
LNS14000008Q,2017,Q04,2017 Qtr4,6.4
LNS14000008Q,2018,Q01,2018 Qtr1,6.8
LNS14000008Q,2018,Q02,2018 Qtr2,5.5
LNS14000008Q,2018,Q03,2018 Qtr3,6.1
LNS14000008Q,2018,Q04,2018 Qtr4,5.8
LNS14000008Q,2019,Q01,2019 Qtr1,6
LNS14000008Q,2019,Q02,2019 Qtr2,5.8
LNS14000008Q,2019,Q03,2019 Qtr3,5.2
LNS14000008Q,2019,Q04,2019 Qtr4,5.4
LNS14000008Q,2020,Q01,2020 Qtr1,5.7
LNS14000009Q,2010,Q01,2010 Qtr1,12.8
LNS14000009Q,2010,Q02,2010 Qtr2,12.3
LNS14000009Q,2010,Q03,2010 Qtr3,12.2
LNS14000009Q,2010,Q04,2010 Qtr4,12.7
LNS14000009Q,2011,Q01,2011 Qtr1,11.9
LNS14000009Q,2011,Q02,2011 Qtr2,11.7
LNS14000009Q,2011,Q03,2011 Qtr3,11.2
LNS14000009Q,2011,Q04,2011 Qtr4,11.2
LNS14000009Q,2012,Q01,2012 Qtr1,10.7
LNS14000009Q,2012,Q02,2012 Qtr2,10.7
LNS14000009Q,2012,Q03,2012 Qtr3,10
LNS14000009Q,2012,Q04,2012 Qtr4,9.8
LNS14000009Q,2013,Q01,2013 Qtr1,9.6
LNS14000009Q,2013,Q02,2013 Qtr2,9
LNS14000009Q,2013,Q03,2013 Qtr3,9.1
LNS14000009Q,2013,Q04,2013 Qtr4,8.7
LNS14000009Q,2014,Q01,2014 Qtr1,8.1
LNS14000009Q,2014,Q02,2014 Qtr2,7.6
LNS14000009Q,2014,Q03,2014 Qtr3,7.3
LNS14000009Q,2014,Q04,2014 Qtr4,6.6
LNS14000009Q,2015,Q01,2015 Qtr1,6.7
LNS14000009Q,2015,Q02,2015 Qtr2,6.8
LNS14000009Q,2015,Q03,2015 Qtr3,6.6
LNS14000009Q,2015,Q04,2015 Qtr4,6.3
LNS14000009Q,2016,Q01,2016 Qtr1,5.6
LNS14000009Q,2016,Q02,2016 Qtr2,5.9
LNS14000009Q,2016,Q03,2016 Qtr3,5.8
LNS14000009Q,2016,Q04,2016 Qtr4,5.8
LNS14000009Q,2017,Q01,2017 Qtr1,5.4
LNS14000009Q,2017,Q02,2017 Qtr2,5
LNS14000009Q,2017,Q03,2017 Qtr3,5.1
LNS14000009Q,2017,Q04,2017 Qtr4,4.9
LNS14000009Q,2018,Q01,2018 Qtr1,5
LNS14000009Q,2018,Q02,2018 Qtr2,4.8
LNS14000009Q,2018,Q03,2018 Qtr3,4.6
LNS14000009Q,2018,Q04,2018 Qtr4,4.4
LNS14000009Q,2019,Q01,2019 Qtr1,4.6
LNS14000009Q,2019,Q02,2019 Qtr2,4.2
LNS14000009Q,2019,Q03,2019 Qtr3,4.2
LNS14000009Q,2019,Q04,2019 Qtr4,4.1
LNS14000009Q,2020,Q01,2020 Qtr1,4.9
